Hindi,English
Paani  ,Water
Aag  ,Fire
Hawa  ,Air
Dharti  ,Earth
Aakash  ,Sky
Sooraj  ,Sun
Chaand  ,Moon
Taara  ,Star
Bachcha  ,Child
Aadmi  ,Man
Aurat  ,Woman
Ladka  ,Boy
Ladki  ,Girl
Parivaar  ,Family
Dost  ,Friend
School  ,School
Kitaab  ,Book
Kalam  ,Pen
Kursi  ,Chair
Mez  ,Table
Ghar  ,House
Gadi  ,Car
Railgaadi  ,Train
Sadak  ,Road
Gaon  ,Village
Sheher  ,City
Bhojan  ,Food
Doodh  ,Milk
Roti  ,Bread
Chai  ,Tea
Phal  ,Fruit
Sabzi  ,Vegetable
Namak  ,Salt
Mithai  ,Sweet
Samay  ,Time
Din  ,Day
Raat  ,Night
Subah  ,Morning
Shaam  ,Evening
Saal  ,Year
Mahina  ,Month
Haftha  ,Week
Kal  ,Yesterday/Tomorrow
Aaj  ,Today
Abhi  ,Now
Jaldi  ,Soon
Kabhi Kabhi  ,Sometimes
Hamesha  ,Always
Kabhi Nahi  ,Never
Haath  ,Hand
Aankh  ,Eye
Munh  ,Mouth
Taang  ,Leg
Sir  ,Head
Dil  ,Heart
Sharir  ,Body
Rang  ,Color
Laal  ,Red
Neela  ,Blue
Hara  ,Green
Peela  ,Yellow
Kaala  ,Black
Safed  ,White
Achha  ,Good
Bura  ,Bad
Bada  ,Big
Chhota  ,Small
Tez  ,Fast
Dheere  ,Slow
Naya  ,New
Purana  ,Old
Garam  ,Hot
Thanda  ,Cold
Saaf  ,Clean
Ganda  ,Dirty
Sach  ,TRUE
Jhooth  ,FALSE
Khoobsurat  ,Beautiful
Badsoorat  ,Ugly
Pyaar  ,Love
Nafrat  ,Hate
Dar  ,Fear
Khushi  ,Happiness
Udaasi  ,Sadness
Aawaaz  ,Sound
Shaanti  ,Peace
Yudh  ,War
Kaam  ,Work
Khel  ,Game
Nritya  ,Dance
Gaana  ,Song
Sangeet  ,Music
Sawaal  ,Question
Jawaab  ,Answer
Zindagi  ,Life
Maut  ,Death
Sapna  ,Dream
Aasha  ,Hope
Lakshya ,Goal
